time,flux
0.0,0.8647672
3.528208023145045e-05,0.86491233
7.05641604629009e-05,0.864923
0.00010584624069435135,0.8650531
0.0001411283209258018,0.86505634
0.00017641040115725225,0.86505073
0.0002116924813887027,0.8650385
0.0002469745616201531,0.8650753
0.0002822566418516036,0.8651322
0.00031753872208305407,0.8651516
0.0003528208023145045,0.8651982
0.0003881028825459549,0.8651
0.0004233849627774054,0.86520594
0.00045866704300885587,0.8652092
0.0004939491232403062,0.8652336
0.0005292312034717567,0.8653226
0.0005645132837032072,0.8653534
0.0005997953639346577,0.8652774
0.0006350774441661081,0.8653119
0.0006703595243975585,0.8654068
0.000705641604629009,0.86541355
0.0007409236848604595,0.8654247
0.0007762057650919098,0.8653691
0.0008114878453233603,0.8655151
0.0008467699255548108,0.8654799
0.0008820520057862613,0.86554796
0.0009173340860177117,0.86553615
0.0009526161662491621,0.8655934
0.0009878982464806125,0.86562765
0.001023180326712063,0.8655966
0.0010584624069435134,0.8656811
0.001093744487174964,0.86563784
0.0011290265674064144,0.86576116
0.0011643086476378647,0.8657747
0.0011995907278693153,0.8657162
0.0012348728081007657,0.86578745
0.0012701548883322163,0.8658587
0.0013054369685636666,0.86585367
0.001340719048795117,0.86589444
0.0013760011290265676,0.8659146
0.001411283209258018,0.86601335
0.0014465652894894683,0.86591077
0.001481847369720919,0.8659395
0.0015171294499523693,0.8659786
0.0015524115301838197,0.86599636
0.0015876936104152702,0.86601776
0.0016229756906467206,0.8660409
0.0016582577708781712,0.86606807
0.0016935398511096216,0.86611664
0.001728821931341072,0.8661182
0.0017641040115725225,0.866112
0.0017993860918039729,0.86616474
0.0018346681720354235,0.86617374
0.0018699502522668738,0.86620533
0.0019052323324983242,0.86623764
0.0019405144127297748,0.8662177
0.001975796492961225,0.8662585
0.0020110785731926755,0.8663082
0.002046360653424126,0.8663967
0.0020816427336555767,0.8663921
0.002116924813887027,0.8663789
0.0021522068941184774,0.8663367
0.002187488974349928,0.8663691
0.002222771054581378,0.8664349
0.0022580531348128288,0.8664562
0.0022933352150442793,0.8664913
0.0023286172952757295,0.86650205
0.00236389937550718,0.866591
0.0023991814557386307,0.8666921
0.002434463535970081,0.8666084
0.0024697456162015314,0.86662674
0.002505027696432982,0.8666973
0.0025403097766644326,0.8666532
0.0025755918568958827,0.86675245
0.0026108739371273333,0.8668025
0.002646156017358784,0.8667463
0.002681438097590234,0.86678076
0.0027167201778216846,0.86682945
0.002752002258053135,0.86681217
0.0027872843382845854,0.86683655
0.002822566418516036,0.8668755
0.0028578484987474865,0.8669065
0.0028931305789789367,0.86692095
0.0029284126592103873,0.8669297
0.002963694739441838,0.8669733
0.002998976819673288,0.8670607
0.0030342588999047386,0.8669385
0.003069540980136189,0.86705375
0.0031048230603676393,0.8671299
0.00314010514059909,0.86711156
0.0031753872208305405,0.8671353
0.003210669301061991,0.86716723
0.0032459513812934412,0.86721325
0.003281233461524892,0.86718434
0.0033165155417563424,0.8672691
0.0033517976219877925,0.86734164
0.003387079702219243,0.86730635
0.0034223617824506937,0.8672943
0.003457643862682144,0.8673181
0.0034929259429135944,0.86741364
0.003528208023145045,0.8674806
0.003563490103376495,0.8674763
0.0035987721836079458,0.86753434
0.0036340542638393964,0.8674951
0.003669336344070847,0.86751926
0.003704618424302297,0.86764956
0.0037399005045337477,0.86762536
0.0037751825847651983,0.867614
0.0038104646649966484,0.8676728
0.003845746745228099,0.86768204
0.0038810288254595496,0.86774206
0.003916310905691,0.86773854
0.00395159298592245,0.86779237
0.003986875066153901,0.8678142
0.004022157146385351,0.8678089
0.004057439226616802,0.86791134
0.004092721306848252,0.86789215
0.004128003387079702,0.8679266
0.004163285467311153,0.8680212
0.0041985675475426035,0.8679364
0.004233849627774054,0.8679761
0.004269131708005505,0.867991
0.004304413788236955,0.8680923
0.004339695868468405,0.8681545
0.004374977948699856,0.86815584
0.004410260028931306,0.86821973
0.004445542109162756,0.8682584
0.004480824189394207,0.8682593
0.0045161062696256575,0.8682986
0.004551388349857108,0.86831427
0.004586670430088559,0.86833566
0.004621952510320009,0.86840695
0.004657234590551459,0.86839265
0.00469251667078291,0.8684376
0.00472779875101436,0.8684777
0.00476308083124581,0.8685583
0.004798362911477261,0.86857164
0.0048336449917087115,0.86859965
0.004868927071940162,0.8686286
0.004904209152171613,0.8686855
0.004939491232403063,0.8687171
0.004974773312634513,0.86870086
0.005010055392865964,0.8687149
0.005045337473097414,0.8687651
0.005080619553328865,0.86882925
0.005115901633560315,0.8688971
0.005151183713791765,0.8688733
0.0051864657940232164,0.8688808
0.005221747874254667,0.8689536
0.005257029954486117,0.8690228
0.005292312034717568,0.8690608
0.005327594114949018,0.8690345
0.005362876195180468,0.86911464
0.005398158275411919,0.86920035
0.005433440355643369,0.869186
0.005468722435874819,0.869176
0.00550400451610627,0.86932564
0.0055392865963377206,0.86931974
0.005574568676569171,0.8693353
0.005609850756800622,0.8694406
0.005645132837032072,0.86952823
0.005680414917263522,0.86946875
0.005715696997494973,0.86952984
0.005750979077726423,0.86957544
0.005786261157957873,0.86956936
0.005821543238189324,0.86960316
0.0058568253184207745,0.86971515
0.005892107398652225,0.8697278
0.005927389478883676,0.8697854
0.005962671559115126,0.869823
0.005997953639346576,0.8699501
0.006033235719578027,0.8698466
0.006068517799809477,0.8699825
0.006103799880040927,0.8699849
0.006139081960272378,0.87002784
0.0061743640405038285,0.87009954
0.006209646120735279,0.8700783
0.00624492820096673,0.8701464
0.00628021028119818,0.87016124
0.006315492361429631,0.8702783
0.006350774441661081,0.8703051
